ID_REF	GSM142398	GSM142399	GSM142400	GSM142401	GSM142402	GSM142403	GSM142404	GSM142405	GSM142406	GSM142407	GSM142408	GSM142409	GSM142410	GSM142411	GSM142412	GSM142413	GSM142414	GSM142415	GSM142416	GSM142417	GSM142418	GSM142419	GSM142420	GSM142421	GSM142422	GSM142423
1449206_at	9.9	28.7	48.6	32	5.9	6.3	33.1	36.3	14.7	85.5	52.5	30	5.4	58.6	29.6	1.7	26.7	45.9	8	27.1	1.4	20.2	26.3	5.7	19.4	33.6
1449207_a_at	98.9	424.6	96.1	111.3	390.8	212.9	325	353.3	322.6	196.1	129.2	413.7	166.8	339	163.2	754.4	768.4	146.9	56.3	634	524.8	461.7	496.2	99.8	767.9	576.3
1449208_at	14.1	15.7	3.1	34	5.9	5.2	10.3	3	38.2	14.7	33.1	6	11.5	10.2	37	16.8	11	30.7	5.4	2.1	3.1	9.4	23.8	2.1	22.7	33.6
1449209_a_at	460.6	1215.1	379.7	440.1	397.5	498.1	288.7	285	300.4	429.7	236.1	765	306	597.3	453.2	580.4	561.1	454.5	158.9	414.4	567.5	352.4	517.8	346.3	292.5	510.3
1449210_at	6.2	3.9	5.4	4.8	2.8	2.8	2.3	30.3	4.9	7.1	28.7	4.9	4.4	26.7	3.8	4.4	3.6	30.1	12.8	11.5	2.4	15.9	3.9	5.2	44.2	3.2
1449211_at	314.7	341.2	282.6	265.1	173.1	299.3	250	188.9	177.1	297.7	339.7	442.1	340.2	357.5	283.3	82.4	138.9	279	138.2	327.5	396.8	358.3	414.6	352.4	396.8	437.7
1449212_at	10.5	0.6	9	10.9	0.9	5.6	2.6	16.8	1.2	1	22.6	15.2	7.2	9.2	39.2	1.6	1.5	3.5	10.2	12.9	9.1	2	1.4	11.6	13.3	13.6
1449213_at	599.4	967.8	537.1	408.8	667.9	526	604	763.4	791.7	810.9	1059.3	913.2	705	812.4	892.8	528.2	827.5	538.6	259.5	1283.3	616.6	707.3	846.3	227.5	574.8	774.1
1449214_a_at	355.3	497.8	300.7	339.8	390.2	314.2	250.9	257.3	310	329	245.3	315.8	298.9	353.4	198	470.5	468.4	350.3	286	232.8	497.4	374.7	324.5	299.5	305	266.6
1449215_at	3.2	12.3	28.2	25.1	18.5	2.5	37.7	82	53.1	24.8	37.3	17.9	15	4.9	4.8	16.1	41.1	28.5	1.8	46.5	108.9	91.9	81.9	15.1	3.1	7.5
